Time begin: 17261890
+6.24100000E-04
+5.55300000E-04
+5.07100000E-04
+4.81900000E-04
+4.35600000E-04
+4.22300000E-04
+3.94300000E-04
+3.59400000E-04
+3.60000000E-04
+3.53100000E-04
+3.45200000E-04
+3.35400000E-04
+4.48700000E-04
+4.04500000E-04
+1.09330000E-03
+2.08120000E-03
+2.25870000E-03
+2.46880000E-03
+2.66840000E-03
+2.89540000E-03
+3.20790000E-03
+3.52510000E-03
+3.81250000E-03
+4.12820000E-03
+4.59220000E-03
+5.63560000E-03
+5.78380000E-03
+5.78020000E-03
+5.77500000E-03
+5.75860000E-03
+5.77010000E-03
+5.76310000E-03
+5.75380000E-03
+5.78400000E-03
+5.79900000E-03
+5.79990000E-03
+5.78000000E-03
+5.78920000E-03
+5.79480000E-03
+5.78810000E-03
+5.80970000E-03
+5.79050000E-03
+5.78170000E-03
+5.77530000E-03
+5.78920000E-03
+5.76460000E-03
+5.78680000E-03
+5.77010000E-03
+5.81230000E-03
+5.77700000E-03
+5.79070000E-03
+5.78400000E-03
+5.79650000E-03
+5.79020000E-03
+5.78430000E-03
+5.78040000E-03
+5.79000000E-03
+5.79950000E-03
+5.80570000E-03
+5.79650000E-03
+5.78130000E-03
+5.78230000E-03
+4.96530000E-03
+4.95800000E-03
+4.95890000E-03
+4.96740000E-03
+4.97920000E-03
+4.98270000E-03
+5.00280000E-03
+5.01780000E-03
+5.01520000E-03
+5.00960000E-03
+5.01240000E-03
+5.02230000E-03
+5.03920000E-03
Time end: 172618100
Time begin: 172618109

+5.04300000E-03
+5.05140000E-03
+5.06770000E-03
+5.06620000E-03
+5.06510000E-03
+5.07860000E-03
+5.07770000E-03
+5.06720000E-03
+5.07350000E-03
+5.07220000E-03
+5.08550000E-03
+5.08820000E-03
+5.09550000E-03
+5.08350000E-03
+5.08350000E-03
+5.09060000E-03
+5.07820000E-03
+5.09080000E-03
+5.11440000E-03
+5.11290000E-03
+5.09960000E-03
+5.10130000E-03
+5.11390000E-03
+5.09850000E-03
+5.10130000E-03
+5.10840000E-03
+5.11950000E-03
+5.11030000E-03
+5.12490000E-03
+5.14330000E-03
+5.13360000E-03
+5.13060000E-03
+5.13580000E-03
+5.13210000E-03
